profile,stage_id,stage_name,cycles
binary2,0,IDLE,277
binary2,1,PARAM_INIT,0
binary2,2,FRAME_LOAD,95708
binary2,3,MAIN_CTRL,932
binary2,4,CONV_WEIGHT_LOAD,34610
binary2,5,CONV_ROW_DATAPATH,9139308
binary2,6,PPU_ROW_CONSUME,302234
binary2,7,PPU_BLOCK5_FINAL,2049822
binary2,8,VEC_FIXED,1509681
binary2,9,AVGPOOL,760920
binary2,10,UPSAMPLE_OUT,0
binary2,11,FRAME_STORE,0
binary2,12,ERROR,0
binary2,TOTAL,TOTAL,13893492
cityscapes20,0,IDLE,273
cityscapes20,1,PARAM_INIT,0
cityscapes20,2,FRAME_LOAD,95710
cityscapes20,3,MAIN_CTRL,932
cityscapes20,4,CONV_WEIGHT_LOAD,34610
cityscapes20,5,CONV_ROW_DATAPATH,9157708
cityscapes20,6,PPU_ROW_CONSUME,302234
cityscapes20,7,PPU_BLOCK5_FINAL,2049822
cityscapes20,8,VEC_FIXED,1509681
cityscapes20,9,AVGPOOL,760920
cityscapes20,10,UPSAMPLE_OUT,0
cityscapes20,11,FRAME_STORE,0
cityscapes20,12,ERROR,0
cityscapes20,TOTAL,TOTAL,13911890
binary2_h512w1024,0,IDLE,364
binary2_h512w1024,1,PARAM_INIT,0
binary2_h512w1024,2,FRAME_LOAD,382743
binary2_h512w1024,3,MAIN_CTRL,1217
binary2_h512w1024,4,CONV_WEIGHT_LOAD,42400
binary2_h512w1024,5,CONV_ROW_DATAPATH,32229027
binary2_h512w1024,6,PPU_ROW_CONSUME,1202400
binary2_h512w1024,7,PPU_BLOCK5_FINAL,8256942
binary2_h512w1024,8,VEC_FIXED,6155931
binary2_h512w1024,9,AVGPOOL,3048809
binary2_h512w1024,10,UPSAMPLE_OUT,0
binary2_h512w1024,11,FRAME_STORE,0
binary2_h512w1024,12,ERROR,0
binary2_h512w1024,TOTAL,TOTAL,51319833
